                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4786,                 2.9478,                 1.7393,                0.00354,                      1,                0.38461,                0.23698,                 1.4631,                  3.236,                 1.9566,             0.00036674,             0.00036674,             0.00036674
                      1,                 1.3343,                 2.0451,                 1.5906,                0.79507,                 0.1977,                0.38749,                0.23356,                  1.708,                 3.1775,                  2.173,             0.00074272,             0.00074272,             0.00074272
                      2,                 1.4068,                 1.9662,                 1.6337,                0.68299,                0.55081,                0.57413,                0.32498,                 1.5165,                 2.3786,                 2.2255,              0.0011111,              0.0011111,              0.0011111
                      3,                 1.3439,                 1.8427,                 1.5519,                0.79715,                0.27273,                 0.2952,                0.13561,                 1.8531,                 4.0136,                 2.8765,              0.0014719,              0.0014719,              0.0014719
                      4,                 1.3337,                 1.7358,                  1.546,                0.42227,                0.45909,                0.37783,                0.19873,                 1.4763,                 3.8733,                 2.0385,               0.001601,               0.001601,               0.001601
                      5,                 1.3436,                 1.6938,                 1.5095,                0.81629,                0.36364,                0.44015,                0.27596,                 1.4813,                 3.5457,                 2.1698,               0.001601,               0.001601,               0.001601
                      6,                 1.3417,                 1.5656,                 1.5166,                0.53134,                0.56818,                0.60916,                0.26958,                 1.6644,                 2.9632,                 2.2368,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.3693,                 1.5079,                 1.5265,                0.46055,                0.28182,                0.32096,                0.13216,                 2.4446,                 3.0009,                  3.095,               0.001568,               0.001568,               0.001568
                      8,                 1.3095,                 1.3605,                 1.4829,                0.77149,                0.43182,                0.57016,                0.28223,                 1.5477,                 2.9101,                  2.084,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.2628,                 1.3371,                 1.4609,                0.63168,                0.71064,                 0.6898,                 0.3851,                 1.5312,                 2.0472,                 1.9488,               0.001535,               0.001535,               0.001535
                     10,                 1.2629,                 1.3335,                 1.4751,                0.74929,                0.66364,                0.78378,                0.43864,                 1.4984,                 1.6356,                 1.9445,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.2227,                 1.2409,                 1.4296,                0.73224,                   0.65,                0.64768,                 0.3567,                 1.7006,                 1.9282,                 2.3519,               0.001502,               0.001502,               0.001502
                     12,                 1.2468,                 1.2799,                 1.4364,                0.75105,                0.67909,                0.75053,                0.46078,                 1.2835,                 1.5293,                 1.6846,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.2445,                 1.1725,                 1.4228,                0.63212,                    0.9,                0.77019,                0.42135,                 1.3902,                 1.6468,                 1.8171,               0.001469,               0.001469,               0.001469
                     14,                 1.2117,                 1.1193,                 1.4048,                0.74463,                0.80909,                0.77034,                0.42295,                 1.5583,                  1.454,                 2.0522,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.1581,                 1.0473,                 1.3696,                0.75868,                0.69042,                0.73896,                0.45336,                 1.4769,                 1.2842,                 1.9208,               0.001436,               0.001436,               0.001436
                     16,                 1.1725,                 1.1065,                 1.4162,                0.72084,                 0.8023,                0.81469,                0.48042,                 1.4602,                 1.1909,                 1.8771,              0.0014195,              0.0014195,              0.0014195
                     17,                  1.163,                 1.0696,                 1.3948,                0.60357,                0.80455,                0.79034,                0.43799,                 1.3904,                 1.3298,                 1.8329,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.1671,                 1.0027,                 1.3558,                0.82037,                0.73197,                0.84584,                0.49923,                 1.4845,                 1.0687,                 1.8253,              0.0013864,              0.0013864,              0.0013864
                     19,                 1.1788,                 1.0426,                 1.3802,                0.53643,                0.75455,                0.73857,                0.46867,                 1.2976,                 1.1739,                 1.7691,              0.0013699,              0.0013699,              0.0013699
                     20,                 1.1497,                   1.03,                 1.3693,                0.57159,                0.60455,                0.63093,                0.40174,                 1.4756,                 1.4463,                 1.9779,              0.0013534,              0.0013534,              0.0013534
                     21,                 1.1647,                0.96877,                 1.3695,                0.67599,                0.68552,                0.63417,                0.37764,                  1.483,                 1.7006,                 2.0167,              0.0013369,              0.0013369,              0.0013369
                     22,                 1.2352,                 1.0223,                 1.4285,                0.75185,                 0.7376,                0.68019,                0.41524,                 1.4331,                 1.3942,                 1.9007,              0.0013204,              0.0013204,              0.0013204
                     23,                 1.1443,                0.97161,                 1.3659,                0.79746,                0.83531,                0.83181,                0.51322,                 1.1908,                 1.0812,                 1.6977,              0.0013039,              0.0013039,              0.0013039
                     24,                 1.1188,                0.92338,                 1.3473,                0.75535,                0.86725,                0.84177,                0.45615,                 1.5128,                  1.144,                 1.8491,              0.0012874,              0.0012874,              0.0012874
                     25,                 1.0446,                0.84913,                 1.2997,                0.60511,                0.85455,                0.75917,                0.38873,                  1.592,                 1.5497,                 1.8679,              0.0012709,              0.0012709,              0.0012709
                     26,                 1.1468,                0.92306,                 1.3477,                 0.8496,                   0.95,                0.86692,                0.55307,                 1.1864,                0.93436,                 1.6318,              0.0012544,              0.0012544,              0.0012544
                     27,                 1.0952,                0.85787,                 1.3247,                0.76294,                    0.9,                0.84951,                0.52095,                 1.2922,                0.87944,                 1.7361,              0.0012379,              0.0012379,              0.0012379
                     28,                 1.0516,                 0.8394,                 1.3039,                0.79482,                    0.9,                0.82863,                 0.5122,                 1.2574,                0.89391,                 1.7306,              0.0012214,              0.0012214,              0.0012214
                     29,                 1.1513,                0.87688,                 1.3632,                0.82734,                0.94889,                0.85073,                0.55649,                 1.1613,                0.93854,                  1.574,              0.0012049,              0.0012049,              0.0012049
                     30,                 1.1287,                0.90841,                 1.3449,                0.80445,                0.83485,                0.81321,                0.45825,                 1.3318,                0.97033,                 1.6984,              0.0011884,              0.0011884,              0.0011884
                     31,                 1.0833,                0.86342,                 1.3417,                0.70315,                0.74876,                 0.7569,                0.51402,                 1.0817,                 1.0942,                 1.5656,              0.0011719,              0.0011719,              0.0011719
                     32,                 1.0996,                 0.8755,                 1.3476,                0.84907,                   0.95,                0.87437,                0.54158,                 1.2059,                0.87248,                 1.6502,              0.0011554,              0.0011554,              0.0011554
                     33,                 1.0417,                0.82009,                 1.2912,                0.80616,                0.85999,                0.86669,                0.55264,                 1.1517,                0.81716,                 1.5672,              0.0011389,              0.0011389,              0.0011389
                     34,                 1.0361,                0.79024,                 1.2933,                0.80116,                   0.85,                0.84228,                0.47777,                 1.2239,                0.88912,                  1.648,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.0609,                0.81933,                 1.2964,                0.80731,                0.86151,                0.84715,                0.49318,                 1.3305,                0.85653,                 1.7506,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.0338,                0.79751,                 1.2946,                0.84923,                0.94311,                0.86853,                0.49983,                 1.2259,                0.84054,                 1.6405,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.0857,                0.77705,                 1.2985,                0.88194,                   0.95,                0.86332,                0.52761,                 1.2551,                0.78551,                 1.6477,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.0269,                0.75649,                 1.2698,                0.80597,                    0.9,                0.85311,                0.57859,                 1.1038,                0.81321,                  1.526,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.0747,                0.78406,                 1.3096,                0.77657,                   0.75,                0.79872,                0.56443,                 1.1736,                0.91415,                 1.5938,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.0111,                0.74273,                 1.2783,                0.69489,                0.94924,                0.82828,                0.52027,                 1.2615,                0.87327,                 1.6582,              0.0010234,              0.0010234,              0.0010234
                     41,                  1.055,                0.78462,                 1.2861,                0.77002,                   0.95,                0.85826,                0.51714,                 1.2919,                0.79926,                 1.7633,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.0409,                0.78766,                 1.3121,                  0.822,                   0.95,                0.90103,                 0.5543,                 1.2303,                 0.7935,                 1.6191,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.0245,                 0.7616,                 1.2742,                0.75256,                    0.9,                0.86108,                0.55788,                 1.1803,                0.80208,                 1.6118,             0.00097386,             0.00097386,             0.00097386
                     44,                 1.0491,                0.78231,                 1.2899,                0.72197,                0.92283,                0.82071,                0.51228,                 1.2719,                0.88248,                 1.6429,             0.00095736,             0.00095736,             0.00095736
                     45,                0.98908,                0.73116,                 1.2723,                0.83292,                    0.9,                0.86938,                0.53991,                 1.1721,                0.76107,                 1.5961,             0.00094085,             0.00094085,             0.00094085
                     46,                0.97423,                0.70909,                 1.2333,                0.77655,                   0.85,                0.82413,                0.51313,                 1.2379,                0.81968,                 1.6894,             0.00092435,             0.00092435,             0.00092435
                     47,                0.97405,                0.67319,                 1.2433,                0.62334,                   0.85,                0.74984,                0.51882,                 1.1829,                0.91871,                 1.6098,             0.00090785,             0.00090785,             0.00090785
                     48,                0.98274,                0.68868,                 1.2533,                0.58815,                    0.8,                 0.7471,                0.51792,                 1.1628,                0.94276,                 1.5723,             0.00089134,             0.00089134,             0.00089134
                     49,                  1.015,                0.73679,                 1.2734,                0.64897,                   0.85,                0.72336,                0.46415,                 1.3173,                0.80532,                  1.676,             0.00087484,             0.00087484,             0.00087484
                     50,                 0.9962,                0.67908,                 1.2849,                0.83335,                    0.9,                0.89385,                 0.5299,                 1.3431,                0.83908,                 1.6614,             0.00085834,             0.00085834,             0.00085834
                     51,                0.93864,                0.64182,                 1.2298,                0.83593,                   0.85,                 0.8488,                0.55118,                 1.2423,                0.73891,                 1.5995,             0.00084184,             0.00084184,             0.00084184
                     52,                0.98913,                0.64381,                 1.2471,                0.86667,                    0.9,                 0.8718,                0.57282,                 1.2473,                0.75704,                 1.6395,             0.00082533,             0.00082533,             0.00082533
                     53,                 1.0137,                0.67927,                 1.2642,                0.86401,                    0.9,                0.87736,                0.58221,                 1.2637,                0.72516,                 1.6392,             0.00080883,             0.00080883,             0.00080883
                     54,                 1.0034,                0.68684,                 1.2763,                0.83492,                    0.9,                0.87452,                0.54006,                 1.2409,                0.72888,                 1.6874,             0.00079233,             0.00079233,             0.00079233
                     55,                0.94055,                   0.65,                 1.2388,                0.74657,                 0.9107,                0.87801,                0.57733,                 1.1441,                0.79061,                 1.5157,             0.00077582,             0.00077582,             0.00077582
                     56,                0.93312,                0.63908,                 1.2152,                 0.8828,                    0.8,                0.87329,                0.61074,                 1.0795,                0.77173,                   1.48,             0.00075932,             0.00075932,             0.00075932
                     57,                0.90065,                0.62531,                 1.2017,                0.82009,                    0.9,                0.85957,                0.59172,                 1.1447,                0.74864,                 1.5282,             0.00074282,             0.00074282,             0.00074282
                     58,                0.89639,                0.62328,                 1.1918,                0.84631,                   0.85,                0.86966,                0.60288,                 1.0652,                0.70821,                  1.499,             0.00072631,             0.00072631,             0.00072631
                     59,                0.93019,                0.63853,                 1.2345,                0.85613,                0.69144,                0.78072,                0.54315,                 1.1256,                0.87868,                 1.4996,             0.00070981,             0.00070981,             0.00070981
                     60,                0.91846,                0.62666,                 1.2104,                0.81654,                    0.9,                0.82725,                0.54553,                 1.1466,                0.75396,                 1.5306,             0.00069331,             0.00069331,             0.00069331
                     61,                0.93705,                0.64371,                 1.2314,                0.87642,                0.93585,                0.88016,                0.59596,                 1.1536,                 0.7775,                 1.5423,              0.0006768,              0.0006768,              0.0006768
                     62,                0.92446,                0.64087,                 1.2144,                0.77989,                    0.9,                0.79426,                0.55161,                 1.2022,                0.78262,                 1.6056,              0.0006603,              0.0006603,              0.0006603
                     63,                0.91212,                0.62809,                 1.2323,                0.85502,                   0.75,                0.81635,                0.49616,                 1.3195,                0.79646,                 1.7148,              0.0006438,              0.0006438,              0.0006438
                     64,                0.91529,                0.61149,                 1.2067,                0.85376,                    0.8,                0.82004,                0.50502,                 1.2174,                0.74587,                 1.6509,             0.00062729,             0.00062729,             0.00062729
                     65,                0.89477,                0.59339,                 1.2133,                0.75449,                0.78865,                0.80177,                0.51324,                 1.1929,                0.81369,                 1.5982,             0.00061079,             0.00061079,             0.00061079
                     66,                0.86857,                0.58701,                 1.1856,                0.85064,                   0.75,                0.79356,                0.52547,                 1.1622,                0.84603,                  1.562,             0.00059429,             0.00059429,             0.00059429
                     67,                0.89274,                0.60158,                 1.1871,                0.87287,                   0.95,                0.87245,                0.57637,                 1.0865,                0.70084,                 1.5169,             0.00057778,             0.00057778,             0.00057778
                     68,                0.86086,                0.56891,                 1.1782,                0.88458,                0.93737,                0.88775,                0.57328,                 1.0888,                0.73224,                 1.5018,             0.00056128,             0.00056128,             0.00056128
                     69,                0.87173,                0.58233,                 1.1918,                0.84693,                0.94617,                0.86684,                0.58308,                 1.0836,                0.70225,                 1.5192,             0.00054478,             0.00054478,             0.00054478
                     70,                0.85721,                0.57485,                 1.2153,                0.79662,                   0.85,                0.83111,                 0.5571,                 1.1636,                0.73125,                 1.5504,             0.00052827,             0.00052827,             0.00052827
                     71,                0.87015,                 0.5794,                 1.1939,                0.86632,                   0.85,                0.83574,                0.54601,                 1.1482,                0.70414,                 1.5358,             0.00051177,             0.00051177,             0.00051177
                     72,                0.88731,                0.56718,                 1.1954,                0.87517,                0.89551,                0.85223,                0.53676,                 1.2139,                0.75347,                 1.5878,             0.00049527,             0.00049527,             0.00049527
                     73,                0.87386,                 0.5647,                 1.1907,                 0.8713,                 0.9305,                0.88451,                0.53679,                 1.2387,                0.68034,                 1.6132,             0.00047876,             0.00047876,             0.00047876
                     74,                0.88683,                  0.569,                 1.1847,                0.84685,                0.93679,                0.88031,                0.55504,                 1.2359,                0.69189,                 1.5922,             0.00046226,             0.00046226,             0.00046226
                     75,                0.84739,                0.54617,                  1.186,                0.88004,                 0.8875,                0.87832,                 0.5866,                 1.0952,                0.65386,                 1.4903,             0.00044576,             0.00044576,             0.00044576
                     76,                0.88323,                0.55895,                 1.2037,                0.82795,                   0.85,                0.82377,                0.54559,                 1.0535,                0.67143,                 1.4381,             0.00042925,             0.00042925,             0.00042925
                     77,                0.81396,                 0.5512,                 1.1477,                0.88236,                    0.9,                0.85379,                0.53232,                 1.1641,                0.68533,                 1.5516,             0.00041275,             0.00041275,             0.00041275
                     78,                0.83041,                 0.5294,                 1.1522,                 0.8992,                   0.95,                0.90752,                0.55227,                 1.2196,                 0.7227,                 1.6219,             0.00039625,             0.00039625,             0.00039625
                     79,                0.82575,                0.53205,                 1.1535,                0.77761,                   0.85,                0.78602,                0.52188,                 1.1585,                0.74964,                 1.5588,             0.00037974,             0.00037974,             0.00037974
                     80,                 0.8252,                0.52495,                 1.1667,                0.72865,                   0.85,                0.77136,                0.51212,                 1.1389,                0.79908,                 1.5082,             0.00036324,             0.00036324,             0.00036324
                     81,                0.83616,                 0.5155,                 1.1642,                0.85461,                    0.8,                0.83795,                0.55503,                 1.1603,                0.74196,                 1.5518,             0.00034674,             0.00034674,             0.00034674
                     82,                0.83368,                0.53823,                 1.1738,                0.80096,                    0.9,                0.86567,                0.56022,                  1.163,                0.70234,                 1.5585,             0.00033023,             0.00033023,             0.00033023
                     83,                0.79918,                0.53444,                 1.1683,                0.85528,                   0.85,                0.81548,                0.53984,                 1.2949,                0.67609,                 1.6583,             0.00031373,             0.00031373,             0.00031373
                     84,                0.78825,                0.50365,                 1.1478,                0.83091,                    0.9,                0.82669,                0.55064,                 1.1901,                0.64592,                 1.5798,             0.00029723,             0.00029723,             0.00029723
                     85,                0.82516,                0.53033,                 1.1903,                0.88873,                   0.95,                0.87254,                 0.5388,                 1.1676,                0.64485,                 1.5585,             0.00028072,             0.00028072,             0.00028072
                     86,                0.79944,                0.50279,                  1.153,                0.88395,                    0.9,                0.84718,                0.54871,                 1.2378,                0.71445,                 1.6449,             0.00026422,             0.00026422,             0.00026422
                     87,                0.84696,                0.54151,                 1.1747,                0.88663,                    0.9,                0.85083,                0.56198,                 1.2204,                0.65264,                 1.6491,             0.00024772,             0.00024772,             0.00024772
                     88,                0.84433,                0.53243,                 1.1636,                0.83926,                    0.9,                0.85402,                0.55967,                 1.2425,                0.69579,                 1.6193,             0.00023121,             0.00023121,             0.00023121
                     89,                0.80524,                0.49058,                 1.1489,                 0.8675,                    0.9,                0.87322,                0.56612,                 1.1936,                0.71069,                 1.5801,             0.00021471,             0.00021471,             0.00021471
                     90,                0.74077,                0.46013,                 1.2059,                0.88329,                    0.9,                0.86923,                0.56855,                 1.1534,                0.63808,                   1.55,             0.00019821,             0.00019821,             0.00019821
                     91,                0.71588,                0.42052,                 1.1997,                0.89062,                   0.95,                0.87946,                0.59338,                 1.1271,                0.64352,                 1.5204,              0.0001817,              0.0001817,              0.0001817
                     92,                0.70481,                0.39599,                 1.1803,                0.89266,                   0.95,                 0.8789,                0.60941,                 1.1145,                0.61495,                 1.4943,              0.0001652,              0.0001652,              0.0001652
                     93,                0.70436,                0.38677,                 1.1824,                0.89306,                0.94951,                0.90153,                0.62605,                 1.1241,                 0.6212,                  1.514,              0.0001487,              0.0001487,              0.0001487
                     94,                0.69609,                0.39521,                 1.1908,                 0.8787,                   0.95,                0.89278,                0.59703,                  1.178,                0.64908,                 1.5457,             0.00013219,             0.00013219,             0.00013219
                     95,                0.67807,                0.37874,                 1.1621,                0.87807,                   0.95,                0.89541,                0.59742,                 1.1761,                  0.629,                  1.538,             0.00011569,             0.00011569,             0.00011569
                     96,                0.69819,                0.38271,                 1.2012,                0.88939,                   0.95,                0.90372,                0.59691,                 1.1692,                0.61493,                 1.5527,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.68325,                 0.3814,                 1.1609,                0.88089,                    0.9,                0.88379,                 0.5971,                 1.1541,                0.64589,                 1.5456,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.67791,                 0.3711,                 1.1542,                0.83412,                    0.9,                0.88307,                0.59075,                 1.1535,                0.64835,                 1.5465,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.66669,                0.37053,                 1.1593,                  0.797,                    0.9,                0.87205,                0.58397,                 1.1714,                0.66585,                 1.5458,             4.9677e-05,             4.9677e-05,             4.9677e-05
